縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數
"10010","嘉義縣","10010100","義竹鄉","10010100-001","岸腳村",109.57,2.16,222.26,62.05250581849043957400,9.78520284060810777900,52.26730297788233179500,534.1463284354554000
"10010","嘉義縣","10010100","義竹鄉","10010100-002","義竹村",102.46,2.41,683.94,60.10256404092044713800,14.46153844670611441400,45.64102559421433272400,315.6028346411146500
"10010","嘉義縣","10010100","義竹鄉","10010100-003","六桂村",102.66,2.32,1538.75,57.36434101115718215600,11.11111109675567041800,46.25322991440151173800,416.2790649269876200
"10010","嘉義縣","10010100","義竹鄉","10010100-004","仁里村",96.13,2.41,1820.36,56.97074000521387262400,10.67125643602193384500,46.29948356919193877900,433.8709607440167600
"10010","嘉義縣","10010100","義竹鄉","10010100-005","傳芳村",106.46,2.59,360.13,43.70503589261684192000,10.97122300185031834200,32.73381289076652357800,298.3606508465467100
"10010","嘉義縣","10010100","義竹鄉","10010100-006","頭竹村",117.57,2.36,264.61,56.57071332093778057500,7.63454316941859428100,48.93617015151918629300,640.9835960494492500
"10010","嘉義縣","10010100","義竹鄉","10010100-007","五厝村",130.41,2.32,315.54,61.47540958411717383600,10.24590159735286230600,51.22950798676431153000,499.9999800000008000
"10010","嘉義縣","10010100","義竹鄉","10010100-008","中平村",114.95,2.03,148.37,73.02904534012844257200,7.88381739467295686900,65.14522794545548570400,826.3157459833817900
"10010","嘉義縣","10010100","義竹鄉","10010100-009","埤前村",109.67,2.59,214.65,55.85215594280871469600,9.44558519621029733800,46.40657074659841735800,491.3043371455578900
"10010","嘉義縣","10010100","義竹鄉","10010100-010","平溪村",120.10,2.39,152.64,42.99363043632601771900,8.91719742383058145300,34.07643301249543626600,382.1428434948984500
"10010","嘉義縣","10010100","義竹鄉","10010100-011","後鎮村",116.83,2.35,229.31,49.48805443860732273500,6.82593854325618244600,42.66211589535114028900,624.9999687500015600
"10010","嘉義縣","10010100","義竹鄉","10010100-012","北華村",108.13,2.70,94.87,37.93910998140723657800,6.55737703382347298900,31.38173294758376358900,478.5714114795924500
"10010","嘉義縣","10010100","義竹鄉","10010100-013","新店村",96.20,2.69,224.43,44.13407817119732013900,10.98696460801958602600,33.14711356317773411200,301.6949126975007400
"10010","嘉義縣","10010100","義竹鄉","10010100-014","東過村",112.22,2.37,297.87,38.87999993779200010000,6.39999998976000001600,32.47999994803200008300,507.4999873125003200
"10010","嘉義縣","10010100","義竹鄉","10010100-015","西過村",98.79,2.18,169.55,39.38879450018880390500,5.60271645907857986600,33.78607804111022403900,603.0302847566580400
"10010","嘉義縣","10010100","義竹鄉","10010100-016","官和村",108.01,2.85,263.17,40.49180321230851932400,10.65573768744961034800,29.83606552485890897600,279.9999956923077600
"10010","嘉義縣","10010100","義竹鄉","10010100-017","官順村",99.55,2.57,175.24,39.68749987597656288800,10.31249996777343760100,29.37499990820312528700,284.8484762167128400
