縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10002,宜蘭縣,10002080,冬山鄉,104.07,2.66,663.11,39.84,15.46,24.38,157.7,110Y06M
10002,宜蘭縣,10002090,五結鄉,105.04,2.55,1037.66,36.94,13.27,23.68,178.47,110Y06M
10002,宜蘭縣,10002100,三星鄉,116.43,2.38,147.14,39.66,10.54,29.12,276.39,110Y06M
10002,宜蘭縣,10002110,大同鄉,117.2,3.08,9.24,37.23,22.16,15.07,67.99,110Y06M
10002,宜蘭縣,10002120,南澳鄉,106.87,2.93,8.06,40.74,26.44,14.3,54.06,110Y06M
10004,新竹縣,10004010,竹北市,98.99,2.69,4347.32,44.39,32.45,11.94,36.79,110Y06M
10004,新竹縣,10004020,竹東鎮,101.51,2.73,1810.65,39.81,19.25,20.56,106.85,110Y06M
10004,新竹縣,10004030,新埔鎮,114.02,2.88,457.24,41.09,12.68,28.41,224.03,110Y06M
10004,新竹縣,10004040,關西鎮,116.23,2.95,219.73,45.72,13.83,31.89,230.52,110Y06M
10004,新竹縣,10004050,湖口鄉,102.32,2.74,1358.13,37.31,18.95,18.35,96.81,110Y06M
10004,新竹縣,10004060,新豐鄉,105.03,2.95,1244.2,38.13,21.25,16.88,79.45,110Y06M
10004,新竹縣,10004070,芎林鄉,112.08,2.87,487.23,37.88,12.43,25.45,204.8,110Y06M
10004,新竹縣,10004080,橫山鄉,118.64,2.83,187.57,47.19,13.03,34.16,262.07,110Y06M
10004,新竹縣,10004090,北埔鄉,120.09,2.85,175.75,44.12,11.98,32.14,268.38,110Y06M
10004,新竹縣,10004100,寶山鄉,119.27,2.43,224.66,32.62,10.71,21.91,204.68,110Y06M
10004,新竹縣,10004110,峨眉鄉,123,2.56,114.16,51.7,10.22,41.48,405.83,110Y06M
10004,新竹縣,10004120,尖石鄉,108.52,3.27,18.13,39.13,25.6,13.53,52.84,110Y06M
10004,新竹縣,10004130,五峰鄉,117.61,2.51,19.53,35.69,17.11,18.58,108.56,110Y06M
10005,苗栗縣,10005010,苗栗市,99.23,2.7,2306.68,44.29,17.6,26.69,151.67,110Y06M
10005,苗栗縣,10005020,苑裡鎮,109.04,2.95,651.23,37.47,13.85,23.62,170.48,110Y06M
10005,苗栗縣,10005030,通霄鎮,112.24,2.83,303.63,43.43,12.64,30.79,243.56,110Y06M
